donor_group,aid_type,n_donors,variable,coef,std_err,p_value,ci_lower,ci_upper,sig
reluctant,Military,4,battle_lag2,0.02861957417823065,0.023984291005850426,0.23580151498065738,-0.01838963619323618,0.07562878454969749,
reluctant,Military,4,battle_lag3,-0.015387368437212301,0.007719136870124407,0.04914700573014641,-0.03051687670265614,-0.0002578601717684644,**
reluctant,Military,4,battle_lag4,-0.06707095711011629,0.05149818592608324,0.19599768613216217,-0.16800740152523944,0.03386548730500685,
reluctant,Military,4,battle_lag5,0.036584802616668924,0.04137898872947708,0.37890087969845054,-0.04451801529310616,0.117687620526444,
reluctant,Military,4,battle_lag6,-0.10791774536825723,0.08074891989407623,0.18465939375187412,-0.26618562836064663,0.050350137624132194,
reluctant,Military,4,month_2,-46.215795220686424,74.68911283974454,0.5375769544592108,-192.60645638658573,100.17486594521287,
reluctant,Military,4,month_3,-121.81241314650318,127.23851229639895,0.3408703009954688,-371.1998972474451,127.57507095443877,
reluctant,Military,4,month_4,-76.62706311269804,54.47492499228199,0.16286459174368706,-183.39791609757074,30.143789872174665,
reluctant,Military,4,month_5,-76.98610885943455,55.8006118517147,0.17099828732374656,-186.35530808879537,32.38309036992625,
reluctant,Military,4,month_6,-102.20747243712971,57.61138873733034,0.07932197413415176,-215.12579436229717,10.710849488037752,*
reluctant,Military,4,month_7,-150.4260468197539,121.17323447201963,0.21757517132836335,-387.9255863849124,87.07349274540456,
reluctant,Military,4,month_8,-100.70133370659887,73.90699925326186,0.17631769105941908,-245.5590522429921,44.15638482979436,
reluctant,Military,4,month_9,-144.416846879609,121.9012860846723,0.23915354131985023,-383.3433676055667,94.50967384634868,
reluctant,Military,4,month_10,-117.31964684182073,103.81258288478611,0.261336092620156,-320.7923092960015,86.15301561236005,
reluctant,Military,4,month_11,-21.956001291042927,64.87314976996348,0.7357906657823299,-149.10737484017133,105.19537225808548,
reluctant,Military,4,month_12,-132.72711412028076,121.24469849658678,0.27647321989601625,-370.3667231735908,104.91249493302931,
reluctant,Financial,4,infra_lag1,-0.26473305164971983,0.2342455414000918,0.2613185519475234,-0.7238543127938997,0.19438820949446006,
reluctant,Financial,4,infra_lag2,0.21756716470248225,0.13432594186656394,0.10868389011415247,-0.04571168135598305,0.4808460107609476,
reluctant,Financial,4,infra_lag3,-0.01243789570608421,0.21569741684576074,0.9541402816363278,-0.43520483272377525,0.4103290413116068,
reluctant,Financial,4,infra_lag4,-0.1461479402989868,0.08952601019643794,0.10596341395327524,-0.3216189202840052,0.029323039686031532,
