donor,year_month,aid_type_general,aid_eur_m,aid_type_specific,donor_group,frontline_flag,reluctant_flag,year,month_num,t,post_2022,winter,infrastructure_attacks,Energy,Medical/Edu,Water,Battle Counts,Remote Attack,Deaths,Total Events,battlefield_events,infra_spike,infra_lag1,battle_lag1,infra_lag2,battle_lag2,infra_lag3,battle_lag3,infra_lag4,battle_lag4,infra_lag5,battle_lag5,infra_lag6,battle_lag6
Sweden,2022-02,Financial,0.0,,other_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Sweden,2022-02,Humanitarian,0.0,,other_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Sweden,2022-02,Military,85.43621118882113,Assistance | Weapons and equipment,other_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Switzerland,2022-02,Financial,2.8676713075147333,Grant,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Switzerland,2022-02,Humanitarian,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Switzerland,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Taiwan,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Taiwan,2022-02,Humanitarian,0.238055352277837,Equipment,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Taiwan,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Turkiye,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Turkiye,2022-02,Humanitarian,0.2186864634673202,Equipment,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Turkiye,2022-02,Military,0.0,Funding for Weapon Acquisition Program,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
United Kingdom,2022-02,Financial,140.83288328474796,Grant | Loan,major_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
United Kingdom,2022-02,Humanitarian,47.73996043550778,Assistance,major_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
United Kingdom,2022-02,Military,75.26864105661308,Weapons,major_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
United States,2022-02,Financial,0.0,,major_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
United States,2022-02,Humanitarian,47.6110704555674,Assistance,major_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
United States,2022-02,Military,308.5902714712702,Weapons and Equipment,major_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Australia,2022-03,Financial,0.0,,other_western,0,0,2022,3,2,0,1,94.0,7.0,13.0,84.0,566.0,426.0,2228.0,1069.0,992.0,0,98.0,1506.0,,,,,,,,,,
Australia,2022-03,Humanitarian,65.30042325425799,Assistance | Contribution | Equipment,other_western,0,0,2022,3,2,0,1,94.0,7.0,13.0,84.0,566.0,426.0,2228.0,1069.0,992.0,0,98.0,1506.0,,,,,,,,,,
Australia,2022-03,Military,77.61115878579845,Assistance | Equipment | Weapons and equipment,other_western,0,0,2022,3,2,0,1,94.0,7.0,13.0,84.0,566.0,426.0,2228.0,1069.0,992.0,0,98.0,1506.0,,,,,,,,,,
Austria,2022-03,Financial,10.0,Grant,other,0,0,2022,3,2,0,1,94.0,7.0,13.0,84.0,566.0,426.0,2228.0,1069.0,992.0,0,98.0,1506.0,,,,,,,,,,
Austria,2022-03,Humanitarian,0.0,,other,0,0,2022,3,2,0,1,94.0,7.0,13.0,84.0,566.0,426.0,2228.0,1069.0,992.0,0,98.0,1506.0,,,,,,,,,,
Austria,2022-03,Military,3.2556386286873216,Equipment,other,0,0,2022,3,2,0,1,94.0,7.0,13.0,84.0,566.0,426.0,2228.0,1069.0,992.0,0,98.0,1506.0,,,,,,,,,,
Belgium,2022-03,Financial,0.0,,other,0,0,2022,3,2,0,1,94.0,7.0,13.0,84.0,566.0,426.0,2228.0,1069.0,992.0,0,98.0,1506.0,,,,,,,,,,
Belgium,2022-03,Humanitarian,3.63,Equipment,other,0,0,2022,3,2,0,1,94.0,7.0,13.0,84.0,566.0,426.0,2228.0,1069.0,992.0,0,98.0,1506.0,,,,,,,,,,
Belgium,2022-03,Military,11.0,Equipment | Weapons,other,0,0,2022,3,2,0,1,94.0,7.0,13.0,84.0,566.0,426.0,2228.0,1069.0,992.0,0,98.0,1506.0,,,,,,,,,,
Bulgaria,2022-03,Financial,0.0,,other,0,0,2022,3,2,0,1,94.0,7.0,13.0,84.0,566.0,426.0,2228.0,1069.0,992.0,0,98.0,1506.0,,,,,,,,,,
Bulgaria,2022-03,Humanitarian,0.0,,other,0,0,2022,3,2,0,1,94.0,7.0,13.0,84.0,566.0,426.0,2228.0,1069.0,992.0,0,98.0,1506.0,,,,,,,,,,
Bulgaria,2022-03,Military,0.0,,other,0,0,2022,3,2,0,1,94.0,7.0,13.0,84.0,566.0,426.0,2228.0,1069.0,992.0,0,98.0,1506.0,,,,,,,,,,
Canada,2022-03,Financial,0.0,,other_western,0,0,2022,3,2,0,1,94.0,7.0,13.0,84.0,566.0,426.0,2228.0,1069.0,992.0,0,98.0,1506.0,,,,,,,,,,
