donor,year_month,aid_type_general,aid_eur_m,aid_type_specific,donor_group,frontline_flag,reluctant_flag,year,month_num,t,post_2022,winter
Ireland,2022-04,Financial,0.0,,other,0,0,2022,4,3,0,0
Ireland,2022-04,Humanitarian,0.0,,other,0,0,2022,4,3,0,0
Ireland,2022-04,Military,0.0,,other,0,0,2022,4,3,0,0
Italy,2022-04,Financial,0.0,,reluctant,0,1,2022,4,3,0,0
Italy,2022-04,Humanitarian,32.637801864212186,Contribution | Equipment,reluctant,0,1,2022,4,3,0,0
Italy,2022-04,Military,0.0,Weapons,reluctant,0,1,2022,4,3,0,0
Japan,2022-04,Financial,184.8644651579132,Loan,other_western,0,0,2022,4,3,0,0
Japan,2022-04,Humanitarian,6.285391815369049,Contribution | Equipment,other_western,0,0,2022,4,3,0,0
Japan,2022-04,Military,0.0,Equipment,other_western,0,0,2022,4,3,0,0
Latvia,2022-04,Financial,0.0,,frontline_adjacent,1,0,2022,4,3,0,0
Latvia,2022-04,Humanitarian,0.029996,Equipment,frontline_adjacent,1,0,2022,4,3,0,0
Latvia,2022-04,Military,218.8,Weapons and equipment,frontline_adjacent,1,0,2022,4,3,0,0
Lithuania,2022-04,Financial,0.0,,frontline_adjacent,1,0,2022,4,3,0,0
Lithuania,2022-04,Humanitarian,34.2,Equipment,frontline_adjacent,1,0,2022,4,3,0,0
Lithuania,2022-04,Military,101.47032633533536,Weapons,frontline_adjacent,1,0,2022,4,3,0,0
Luxembourg,2022-04,Financial,0.0,,other,0,0,2022,4,3,0,0
Luxembourg,2022-04,Humanitarian,13.020833333333334,Equipment,other,0,0,2022,4,3,0,0
Luxembourg,2022-04,Military,0.0,,other,0,0,2022,4,3,0,0
Malta,2022-04,Financial,0.0,,other,0,0,2022,4,3,0,0
Malta,2022-04,Humanitarian,0.0,,other,0,0,2022,4,3,0,0
Malta,2022-04,Military,0.0,,other,0,0,2022,4,3,0,0
Netherlands,2022-04,Financial,0.0,,other_western,0,0,2022,4,3,0,0
Netherlands,2022-04,Humanitarian,0.0,,other_western,0,0,2022,4,3,0,0
Netherlands,2022-04,Military,311.154721476088,Weapons,other_western,0,0,2022,4,3,0,0
New Zealand,2022-04,Financial,0.0,,other,0,0,2022,4,3,0,0
New Zealand,2022-04,Humanitarian,0.0,,other,0,0,2022,4,3,0,0
New Zealand,2022-04,Military,7.259958561579537,Equipment | Funding for Weapon Acquisition Program,other,0,0,2022,4,3,0,0
